*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:41:34 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Jupiter (599)                   {source: JUP230}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1925-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2049-Dec-31 00:00:00.0000 UT      
Step-size       : 4320 minutes
*******************************************************************************
Target pole/equ : IAU_JUPITER                     {East-longitude -}
Target radii    : 71492.0 x 71492.0 x 66854.0 km  {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2424151.500000000, , ,6.22044743845196, -4.0000398, 273.1497555,  0.1506180,
2424154.500000000, , ,6.21255040283611, -5.1151456, 273.8354659,  0.1460884,
2424157.500000000, , ,6.20273055486658, -6.2194303, 274.5190291,  0.1416005,
2424160.500000000, , ,6.19100766641686, -7.3104577, 275.1998433,  0.1371473,
2424163.500000000, , ,6.17739738136756, -8.3971583, 275.8773097,  0.1327210,
2424166.500000000, , ,6.16191634922434, -9.4711175, 276.5507815,  0.1283092,
2424169.500000000, , ,6.14458233267017,-10.5365763, 277.2197689,  0.1239008,
2424172.500000000, , ,6.12540794773021,-11.5931713, 277.8837367,  0.1194885,
2424175.500000000, , ,6.10441890140757,-12.6336517, 278.5419025,  0.1150694,
2424178.500000000, , ,6.08164440232613,-13.6512200, 279.1933644,  0.1106499,
2424181.500000000, , ,6.05713010369944,-14.6395579, 279.8374515,  0.1062335,
2424184.500000000, , ,6.03092471960566,-15.6050033, 280.4736695,  0.1018197,
2424187.500000000, , ,6.00307290888608,-16.5400310, 281.1013683,  0.0974026,
2424190.500000000, , ,5.97362284319385,-17.4503555, 281.7198996,  0.0929728,
2424193.500000000, , ,5.94261422076354,-18.3388043, 282.3286121,  0.0885200,
2424196.500000000, , ,5.91009304828586,-19.1985601, 282.9268994,  0.0840309,
2424199.500000000, , ,5.87610065741075,-20.0339095, 283.5142137,  0.0794979,
2424202.500000000, , ,5.84068587268517,-20.8382396, 284.0897295,  0.0749171,
2424205.500000000, , ,5.80390903548173,-21.6081809, 284.6525151,  0.0702925,
2424208.500000000, , ,5.76583407308120,-22.3342928, 285.2017936,  0.0656304,
