*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:43:02 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Mars (499)                      {source: MAR080}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1901-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 00:00:00.0000 UT      
Step-size       : 2880 minutes
*******************************************************************************
Target pole/equ : IAU_MARS                        {East-longitude -}
Target radii    : 3396.2 x 3396.2 x 3376.2 km     {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415385.500000000, , ,.940204345551064,-14.2027824, 161.6438541,  3.2111591,
2415387.500000000, , ,.923921102856805,-13.9890666, 161.9071496,  3.2773060,
2415389.500000000, , ,.907895438101194,-13.7565500, 162.1274188,  3.3440141,
2415391.500000000, , ,.892149920142670,-13.5036499, 162.3030680,  3.4111844,
2415393.500000000, , ,.876709218678672,-13.2283916, 162.4325035,  3.4786876,
2415395.500000000, , ,.861600295889627,-12.9288354, 162.5141911,  3.5463591,
2415397.500000000, , ,.846852233148603,-12.6032593, 162.5466875,  3.6139983,
2415399.500000000, , ,.832495985505879,-12.2501273, 162.5286688,  3.6813682,
2415401.500000000, , ,.818564210482713,-11.8680235, 162.4589650,  3.7481941,
2415403.500000000, , ,.805091110148120,-11.4557181, 162.3366083,  3.8141628,
2415405.500000000, , ,.792112073373378,-11.0124505, 162.1609046,  3.8789250,
2415407.500000000, , ,.779662906529264,-10.5383113, 161.9315323,  3.9421019,
2415409.500000000, , ,.767778754868925,-10.0343221, 161.6486205,  4.0032976,
2415411.500000000, , ,.756493245044591, -9.5019842, 161.3127296,  4.0621083,
2415413.500000000, , ,.745838297908060, -8.9426642, 160.9247563,  4.1181260,
2415415.500000000, , ,.735844509858617, -8.3572655, 160.4858738,  4.1709350,
2415417.500000000, , ,.726541716199440, -7.7462214, 159.9975582,  4.2201078,
2415419.500000000, , ,.717959436360285, -7.1096925, 159.4616727,  4.2652020,
2415421.500000000, , ,.710127005408332, -6.4478995, 158.8805542,  4.3057622,
2415423.500000000, , ,.703073302352788, -5.7614583, 158.2570698,  4.3413280,
2415425.500000000, , ,.696826171002339, -5.0515581, 157.5946380,  4.3714462,
