*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:35:39 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Neptune (899)                   {source: NEP076}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 00:00:00.0000 UT      
Step-size       : 14400 minutes
*******************************************************************************
Target pole/equ : IAU_NEPTUNE                     {East-longitude -}
Target radii    : 24764.0 x 24764.0 x 24341.0 km  {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415020.500000000, , ,28.9202710047031,  7.7991629,  85.2187353, -1.2996532,
2415030.500000000, , ,28.9801602240742, 12.8695003,  84.9564176, -1.2956215,
2415040.500000000, , ,29.0680359368495, 17.4800761,  84.7212272, -1.2903707,
2415050.500000000, , ,29.1810104723275, 21.5370061,  84.5223340, -1.2840248,
2415060.500000000, , ,29.3153494722791, 24.8446919,  84.3678502, -1.2768045,
2415070.500000000, , ,29.4664418136735, 27.3435102,  84.2637710, -1.2689224,
2415080.500000000, , ,29.6295800600910, 29.0008524,  84.2143084, -1.2605920,
2415090.500000000, , ,29.7995891905367, 29.7176114,  84.2217087, -1.2520753,
2415100.500000000, , ,29.9711970459738, 29.5698628,  84.2857467, -1.2435719,
2415110.500000000, , ,30.1395288048449, 28.5763643,  84.4052834, -1.2352943,
2415120.500000000, , ,30.2996428538853, 26.7445018,  84.5774386, -1.2274504,
2415130.500000000, , ,30.4471504813177, 24.2283158,  84.7973282, -1.2201718,
2415140.500000000, , ,30.5782598531467, 21.0659338,  85.0598899, -1.2136204,
2415150.500000000, , ,30.6894076028990, 17.3502763,  85.3589745, -1.2079119,
2415160.500000000, , ,30.7779393879410, 13.2473202,  85.6874810, -1.2031083,
2415170.500000000, , ,30.8417460745731,  8.7964013,  86.0382570, -1.1993077,
2415180.500000000, , ,30.8791698587247,  4.1479536,  86.4034856, -1.1965389,
2415190.500000000, , ,30.8895491123960, -0.5628645,  86.7754627, -1.1948499,
2415200.500000000, , ,30.8726207317999, -5.2896933,  87.1466716, -1.1941505,
2415210.500000000, , ,30.8287722591893, -9.8537135,  87.5086641, -1.1945200,
