*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:33:35 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Pluto Barycenter (9)            {source: DE413+DE405}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 00:00:00.0000 UT      
Step-size       : 14400 minutes
*******************************************************************************
Target pole/equ : IAU_PLUTO_BARYCENTER            {East-longitude +}
Target radii    : 1195.0 x 1195.0 x 1195.0 km     {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415020.500000000, , ,46.0788621940237, 11.9033807,  75.2514098, -9.7769524,
2415030.500000000, , ,46.1610899862642, 16.4791562,  75.0877716, -9.7519007,
2415040.500000000, , ,46.2680951299893, 20.4763585,  74.9469099, -9.7216652,
2415050.500000000, , ,46.3963669114115, 23.8217205,  74.8338176, -9.6870511,
2415060.500000000, , ,46.5416495703718, 26.3419646,  74.7526760, -9.6490488,
2415070.500000000, , ,46.6990134796102, 28.0127739,  74.7063395, -9.6087462,
2415080.500000000, , ,46.8635700589558, 28.8187093,  74.6966940, -9.5671978,
2415090.500000000, , ,47.0300660420177, 28.6873649,  74.7241910, -9.5255274,
2415100.500000000, , ,47.1933309641172, 27.7165282,  74.7877852, -9.4847744,
2415110.500000000, , ,47.3486659292296, 25.9351914,  74.8861247, -9.4458733,
2415120.500000000, , ,47.4913968089426, 23.3779556,  75.0165914, -9.4097324,
2415130.500000000, , ,47.6175334319609, 20.2072139,  75.1753054, -9.3770750,
2415140.500000000, , ,47.7237119166148, 16.4682087,  75.3584378, -9.3485216,
2415150.500000000, , ,47.8068919126581, 12.2799957,  75.5614261, -9.3246078,
2415160.500000000, , ,47.8650231098507,  7.8082248,  75.7791760, -9.3056685,
2415170.500000000, , ,47.8966117891040,  3.0999748,  76.0065142, -9.2919727,
2415180.500000000, , ,47.9007149961785, -1.6737992,  76.2379072, -9.2836566,
2415190.500000000, , ,47.8774118778192, -6.3837122,  76.4682171, -9.2806807,
2415200.500000000, , ,47.8271841165137,-10.9748611,  76.6921232, -9.2829882,
2415210.500000000, , ,47.7512418667890,-15.2607303,  76.9040220, -9.2903447,
2415220.500000000, , ,47.6516485364764,-19.1647102,  77.0993221, -9.3023916,
