*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:39:20 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Saturn (699)                    {source: SAT288}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 00:00:00.0000 UT      
Step-size       : 5760 minutes
*******************************************************************************
Target pole/equ : IAU_SATURN                      {East-longitude -}
Target radii    : 60268.0 x 60268.0 x 54364.0 km  {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415020.500000000, , ,11.0246668546321, -6.2849573, 267.7167358,  1.0076804,
2415024.500000000, , ,11.0080940395457, -8.0576339, 268.1797243,  1.0049337,
2415028.500000000, , ,10.9874664886827, -9.7930426, 268.6369930,  1.0025281,
2415032.500000000, , ,10.9628815233784,-11.4830949, 269.0875801,  1.0004517,
2415036.500000000, , ,10.9344456725792,-13.1271061, 269.5302048,  0.9987165,
2415040.500000000, , ,10.9022627217347,-14.7274247, 269.9636138,  0.9973276,
2415044.500000000, , ,10.8664344073908,-16.2818892, 270.3868090,  0.9962666,
2415048.500000000, , ,10.8270773851948,-17.7801542, 270.7986905,  0.9955163,
2415052.500000000, , ,10.7843392740024,-19.2059708, 271.1976992,  0.9950674,
2415056.500000000, , ,10.7384051215115,-20.5461089, 271.5825582,  0.9949026,
2415060.500000000, , ,10.6894751338291,-21.7997474, 271.9524135,  0.9949981,
2415064.500000000, , ,10.6377488171551,-22.9666793, 272.3060252,  0.9953452,
2415068.500000000, , ,10.5834285325273,-24.0452093, 272.6422835,  0.9959489,
2415072.500000000, , ,10.5267189545524,-25.0350799, 272.9603700,  0.9967999,
2415076.500000000, , ,10.4678288444625,-25.9312373, 273.2593300,  0.9978632,
2415080.500000000, , ,10.4069911264679,-26.7178731, 273.5377725,  0.9991057,
2415084.500000000, , ,10.3444796428297,-27.3791213, 273.7947087,  1.0005115,
2415088.500000000, , ,10.2805833085044,-27.9185115, 274.0295214,  1.0020677,
2415092.500000000, , ,10.2155742466023,-28.3428113, 274.2412869,  1.0037478,
2415096.500000000, , ,10.1497181029287,-28.6513381, 274.4292963,  1.0055308,
