*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:30:48 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Sun (10)                        {source: DE405}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Dec-31 00:00:00.0000 UT      
Step-size       : 10080 minutes
*******************************************************************************
Target pole/equ : IAU_SUN                         {East-longitude +}
Target radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415020.500000000, , ,.983266273096514, -0.0078853, 280.1532846,  0.0000652,
2415027.500000000, , ,.983327764354776,  0.0414122, 287.2907705,  0.0001841,
2415034.500000000, , ,.983633465910835,  0.1123395, 294.4217771, -0.0000311,
2415041.500000000, , ,.984236476115361,  0.1839307, 301.5453079, -0.0001143,
2415048.500000000, , ,.985093254546350,  0.2355559, 308.6618041,  0.0001062,
2415055.500000000, , ,.986118241554714,  0.2726543, 315.7662476,  0.0001808,
2415062.500000000, , ,.987324219418982,  0.3265201, 322.8511877, -0.0000410,
2415069.500000000, , ,.988762619668778,  0.3835622, 329.9150967, -0.0000823,
2415076.500000000, , ,.990399281007664,  0.4212871, 336.9599918,  0.0001420,
2415083.500000000, , ,.992133221060721,  0.4354363, 343.9835307,  0.0001662,
2415090.500000000, , ,.993938571086623,  0.4603232, 350.9794090, -0.0000574,
2415097.500000000, , ,.995864024068448,  0.4915409, 357.9460803, -0.0000528,
2415104.500000000, , ,.997891666055798,  0.5069039,   4.8872130,  0.0001734,
2415111.500000000, , ,.999920530238596,  0.4938342,  11.8034603,  0.0001471,
2415118.500000000, , ,1.00189364483004,  0.4849503,  18.6905469, -0.0000752,
2415125.500000000, , ,1.00385574332023,  0.4861238,  25.5470565, -0.0000277,
2415132.500000000, , ,1.00581140540406,  0.4773804,  32.3778964,  0.0001960,
2415139.500000000, , ,1.00767299667645,  0.4394462,  39.1864376,  0.0001226,
2415146.500000000, , ,1.00936393520758,  0.3995438,  45.9707156, -0.0000956,
2415153.500000000, , ,1.01092250294459,  0.3730815,  52.7293968, -0.0000135,
2415160.500000000, , ,1.01237888511634,  0.3445187,  59.4678659,  0.0001997,
