*******************************************************************************
Ephemeris / WWW_USER Tue Jan 27 23:38:08 2009  Pasadena, USA     / Horizons    
*******************************************************************************
Target body name: Uranus (799)                    {source: URA090}
Center body name: Earth (399)                     {source: DE405}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 1900-Jan-02 00:00:00.0000 UT      
Stop  time      : A.D. 2099-Sep-30 00:00:00.0000 UT      
Step-size       : 10080 minutes
*******************************************************************************
Target pole/equ : IAU_URANUS                      {East-longitude +}
Target radii    : 25559.0 x 25559.0 x 24973.0 km  {Equator, meridian, pole}    
Center geodetic : .000000000,.000000000,.00000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: .000000000,.000000000,.00000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : High-precision EOP model        {East-longitude +}
Center radii    : 6378.1 x 6378.1 x 6356.8 km     {Equator, meridian, pole}    
Target primary  : Sun                             {source: DE405+DE406}
Interfering body: MOON (Req= 1737.400) km         {source: DE405}
Deflecting body : Sun, EARTH                      {source: DE405}
Deflecting GMs  : 1.3271E+11, 3.9860E+05 km^3/s^2                              
Atmos refraction: NO (AIRLESS)
RA format       : DEG
Time format     : JD  
EOP file        : eop.090127.p090420                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2009-JAN-27. PREDICTS-> 2009-APR-19
Units conversion: 1 AU= 149597870.691 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar Elongation (  0.0,180.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Date_________JDUT, , ,           delta,     deldot,    ObsEcLon,   ObsEcLat,
****************************************************************************
$$SOE
2415021.500000000, , ,19.8292127532630,-15.0979131, 250.1942717,  0.0632837,
2415028.500000000, , ,19.7622985134052,-17.9617797, 250.5679118,  0.0624178,
2415035.500000000, , ,19.6843337128904,-20.5643465, 250.9177165,  0.0615662,
2415042.500000000, , ,19.5963774328197,-22.9019057, 251.2397353,  0.0607485,
2415049.500000000, , ,19.4995582737039,-24.9400099, 251.5309337,  0.0599647,
2415056.500000000, , ,19.3952221727471,-26.6086192, 251.7873886,  0.0591840,
2415063.500000000, , ,19.2849392131740,-27.8852159, 252.0067079,  0.0583977,
2415070.500000000, , ,19.1702618817619,-28.7821409, 252.1863156,  0.0576288,
2415077.500000000, , ,19.0527524579425,-29.2801299, 252.3248338,  0.0568729,
2415084.500000000, , ,18.9341206428462,-29.3297815, 252.4201597,  0.0560979,
2415091.500000000, , ,18.8161978645171,-28.9373213, 252.4720358,  0.0552990,
2415098.500000000, , ,18.7006899378078,-28.1381908, 252.4801747,  0.0544972,
2415105.500000000, , ,18.5892261459401,-26.9340539, 252.4456227,  0.0536843,
2415112.500000000, , ,18.4834904819280,-25.3024556, 252.3688900,  0.0528273,
2415119.500000000, , ,18.3851626468591,-23.2821156, 252.2524748,  0.0519329,
2415126.500000000, , ,18.2956812751668,-20.9327007, 252.0989112,  0.0510215,
2415133.500000000, , ,18.2163193039693,-18.2767664, 251.9119431,  0.0500786,
2415140.500000000, , ,18.1483138968862,-15.3181166, 251.6948544,  0.0490773,
2415147.500000000, , ,18.0927782471122,-12.1242407, 251.4527228,  0.0480310,
2415154.500000000, , ,18.0504934153601, -8.7718871, 251.1905151,  0.0469624,
